track_id,label,over_speeding,wrong_side,wrong_turn,sharp_turn,max_speed,avg_speed,max_turn_angle,avg_turn_angle,zone_sequence,num_points,total_distance,avg_acceleration,speed_variance,direction_variance,path_length_ratio
1,0,True,False,False,True,246.55721133722594,158.4706165698825,161.565051177078,109.92378838280848,"3,3,3,3,3,3",6,19.35635892675235,-1330.1709175572146,5071.214934383837,1912.4564350437768,3.7917937871009437
2,0,True,False,False,False,3009.6143126480565,1877.7455081873084,90.0,12.520083055941237,"3,3,3,3,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1",34,839.8547876238285,-1281.073018332591,427019.72404576815,269.21713290469813,1.017974729892925
3,0,True,False,False,True,1607.356365169701,695.8775725083656,180.0,19.560335067474576,"3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3",81,2334.506825200019,-31.529587325539577,81705.53559588737,749.3650286779899,1.0150537335617238
4,0,True,True,False,False,4043.838934278018,2426.1280730648346,28.07248693585296,6.645946117892911,"3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1",246,6109.428408021733,-6.120968289383647,306862.0616312281,29.658299971489775,1.0080207519014122
5,0,True,False,False,True,13260.33186245584,1991.5152641379166,180.0,11.374220519725739,"3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1",259,6237.595558800115,-79.26991388253202,786478.0998402468,439.29591083341774,1.0256586275430335
6,0,True,False,False,False,1820.1867998093567,1820.1867998093567,0.0,0.0,"3,3",2,16.853581479716265,0.0,0.0,0.0,1.0
7,0,True,False,False,False,6286.000159127676,1714.4453155963683,73.30075576600639,11.283195872247694,"3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3",71,2931.9106969352406,-1912.0945322382372,507473.4736782982,182.92340313619263,1.0062213068497101
8,0,True,False,False,True,2712.129324709485,1188.6113477156875,137.33730585912383,20.331235766055023,"3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3",63,1380.8931724804872,-584.3072884705045,172747.94821828598,783.0874038950706,1.0327307301100823
9,0,True,False,False,False,1949.2059034128079,1949.2059034128079,0.0,0.0,"3,3",2,18.04820280937785,0.0,0.0,0.0,1.0
10,0,True,False,False,True,757.4876174492097,331.6215717593862,180.0,35.413727068329884,"3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3",21,522.5021505976132,694.7130333314909,27331.20711565973,2030.185711858812,1.0744253299355204
